id,width,height
654847-1,2016,1512
1343963-0,2016,1512
933061-0,4000,3000
807902-1,1728,2304
809419-0,2048,1536
755607-1,3000,4000
1353538-0,4608,3456
756288-0,1536,2048
1035677-1,2016,1512
788925-0,4608,3456
883200-0,3456,4608
1252055-3,3456,4608
1015544-1,2000,1500
1618408-0,1560,2080
2007795-0,2000,1500
581672-2,4000,3000
755667-0,3000,4000
742216-1,2040,1536
937060-1,3456,4608
2233227-2,3648,2736
949598-1,3000,4000
888096-0,1488,1984
1954745-2,1728,2304
2207926-4,2080,1560
847094-0,2016,1512
757564-2,2080,1560
2015669-2,2000,1500
806235-0,1984,1488
1080058-2,3648,2736
811969-0,4000,3000
880899-0,1496,2000
768296-2,1984,1488
691408-0,2016,1512
937060-0,4608,3456
885816-0,3456,4608
895731-1,2080,1560
745528-1,1500,2000
514734-2,1824,1368
674249-1,3456,4608
1014771-0,1560,2080
937055-2,2040,1536
939059-0,1224,1632
648048-0,1728,2304
1355760-1,2000,1500
878071-2,2016,1512
780188-1,2080,1560
780196-0,2080,1560
939059-2,1632,1224
654836-0,2016,1512
1002746-2,2000,1500
807253-0,1500,2000
1100860-1,1488,1984
905001-1,2736,3648
1281107-2,4000,3000
756231-0,1728,2304
881713-1,1530,2040
1102497-1,1500,2000
888104-0,1488,1984
786072-2,2080,1560
848594-2,2016,1512
1100762-0,1632,1224
1053717-0,1560,2080
861997-0,2040,1530
622068-2,2016,1512
848594-0,2016,1512
843466-1,3000,4000
766842-1,3456,4608
884655-0,1632,1224
735431-1,2000,1500
2082916-1,2000,1500
806354-2,2000,1500
755576-0,3456,4608
810480-0,1728,1296
1341644-0,2080,1560
849852-0,2048,1536
1353218-1,3000,4000
923580-0,1560,2080
776958-2,2304,1728
1281271-0,2048,1536
1311928-4,3000,4000
1054361-2,1560,2080
811369-2,4000,3000
2010835-1,1560,2080
690080-2,1512,2016
691408-2,1512,2016
739261-2,1560,2080
2007795-1,2000,1500
1353217-1,1536,2048
844549-2,2080,1560
805685-2,1632,1224
953160-0,2000,1500
776946-0,1728,2304
623884-0,2080,1560
909581-2,1500,2000
886077-1,1632,1224
2179152-1,2312,1734
2052522-2,2000,1500
2098783-0,3648,2736
566679-1,3456,4608
839898-1,1560,2080
2251785-0,2000,1500
940649-1,2080,1560
868229-2,2112,2816
2097710-0,2048,1536
901951-0,2016,1512
2179140-2,2000,1500
757972-0,2736,3648
1282164-0,2016,1512
546055-0,3456,4608
1087581-1,2112,2816
904679-2,1560,2080
757979-2,3648,2736
2207926-0,2080,1560
892135-1,1560,2080
895590-2,2000,1500
759785-1,2736,3648
1001321-0,1464,1952
735430-0,3456,4608
1002510-2,1632,1224
939363-2,4096,3072
2212903-1,1500,2000
815522-0,1984,1488
1100860-2,1488,1984
1017265-2,1560,2080
918655-1,1728,2304
1137344-1,1464,1952
681083-0,2016,1512
1307747-1,3456,4608
1305686-1,3456,4608
771950-1,3000,4000
691383-1,1512,2016
755983-2,2000,1500
868484-0,1496,2000
685602-0,2000,1500
648043-2,4608,3456
1076136-2,2016,1512
876139-2,2080,1560
1418132-2,1560,2080
965951-1,2736,3648
1350434-2,4000,3000
853999-1,2628,3504
848591-2,2000,1496
2223846-0,4608,3456
756296-1,2080,1560
1184380-0,3456,4608
970912-2,4000,3000
2156630-1,2048,1536
756197-2,2080,1560
808370-2,2312,1734
631947-0,1224,1632
1155371-2,2048,1536
669729-0,2000,1500
811296-0,2016,1512
2242499-2,1464,1952
1075869-0,2000,1500
2241689-0,1940,2592
763299-1,2080,1560
885610-1,2040,1530
805835-0,3456,4608
1936045-1,1500,2000
811356-0,3456,4608
923404-0,4000,3000
935636-0,2040,1530
756323-1,1560,2080
1076798-1,3000,4000
2234471-1,2736,3648
870729-1,1488,1984
2007819-1,2736,3648
767674-1,2080,1560
654844-1,2016,1512
1025994-1,4000,3000
2248645-1,2080,1560
1021648-2,3504,2628
813914-1,1500,2000
811281-0,4608,3456
939052-2,4000,3000
1282164-1,1512,2016
918551-0,1728,2304
782508-1,2000,1500
648028-1,4608,3456
758497-1,1224,1632
970819-0,3000,4000
765751-2,2000,1500
847882-0,2000,1500
745527-0,1632,1224
937048-1,1500,2000
2208032-1,2080,1560
879457-1,2736,3648
654915-1,2304,1728
865164-1,1560,2080
1110103-2,3000,4000
2179175-2,2000,1500
849560-0,3456,4608
1106765-0,4608,3456
648026-0,3456,4608
1954462-0,3000,4000
810375-2,1920,2560
960087-1,2000,1500
756213-2,2080,1560
395086-0,3456,4608
935569-1,3456,4608
690080-0,1512,2016
674281-2,1488,1984
885610-0,2040,1530
669652-2,4000,3000
1021655-1,3456,4608
810540-0,2080,1560
2223852-1,3648,2736
937050-0,1560,2080
766932-1,2000,1500
1018645-0,3456,4608
1009828-1,2016,1512
806307-2,1560,2080
760067-2,4096,3072
1451327-0,1500,2000
981552-1,2080,1560
1115515-2,2000,1500
654840-1,3000,4000
971940-0,2080,1560
756296-0,2080,1560
1355164-0,2000,1500
669592-1,4000,3000
581692-0,1368,1824
1251843-2,3648,2736
2241582-1,2080,1560
622064-0,2016,1512
839407-1,1224,1632
1081383-1,2304,1728
1264166-0,2736,3648
762504-0,2080,1560
842376-0,4000,3000
942306-1,1728,2304
879459-2,3648,2736
765467-2,2000,1500
758421-1,1488,1984
885799-2,1632,1224
1377892-2,2000,1500
1518225-0,1984,1488
971417-1,2048,1536
756230-2,2000,1500
612537-2,1632,1224
2214698-2,1632,1224
2209203-2,2080,1560
1385958-2,4096,3072
863321-2,2304,1728
1011702-1,3456,4608
669733-1,2000,1500
918655-0,1728,2304
939347-0,1500,2000
993387-2,2000,1500
768296-1,1488,1984
849600-2,2000,1500
514677-0,4000,3000
767012-1,1224,1632
848562-1,2312,1734
975745-0,3504,2628
843407-1,1496,2000
121569-1,2736,3648
863453-2,3648,2736
2029000-0,2000,1500
810617-0,1496,2000
234065-1,1500,2000
878391-2,2040,1536
885835-0,2592,1940
878497-2,1632,1224
756136-1,2080,1560
673930-0,2736,3648
680998-1,1512,2016
869598-2,1632,1224
1017266-2,3456,4608
514705-0,3456,4608
937046-0,3648,2736
2193471-1,2736,3648
992689-2,2312,1734
2233247-0,2736,3648
810730-2,2816,2112
936164-0,2736,3648
691383-2,1512,2016
813837-2,2000,1500
740308-1,4000,3000
1373893-0,1488,1984
2135785-1,2080,1560
733139-2,2080,1560
864819-1,1224,1632
756280-2,2080,1560
776954-1,1728,2304
866618-1,3000,4000
2052523-3,4608,3456
1291190-2,1500,2000
905660-0,1152,864
1519358-0,2000,1500
2033885-2,2040,1530
941218-2,1560,2080
1281107-0,3000,4000
2033854-1,2048,1536
1240673-1,1560,2080
756121-0,2080,1560
938078-1,2016,1512
762314-0,1940,2592
933425-1,1500,2000
669725-2,1824,1368
756188-2,2048,1536
939359-0,2080,1560
845269-2,1560,2080
1498443-0,4608,3456
728793-0,1632,1224
2137420-2,4608,3456
586902-2,4000,3000
848579-0,1488,1984
992689-1,2312,1734
681083-2,1512,2016
783711-1,3456,4608
669720-0,3456,4608
940649-2,2080,1560
868469-1,1500,2000
745565-2,2040,1536
519350-2,4608,3456
715496-2,2016,1512
1015596-0,1952,1464
2257218-1,1536,2048
897388-0,2016,1512
782508-0,2000,1500
875726-2,3648,2736
895182-1,3000,4000
808078-0,2016,1512
2195977-0,1536,2048
763810-2,2016,1512
762314-1,1940,2592
1954745-1,1728,2304
768296-0,1488,1984
863779-2,2304,1728
936070-1,864,1152
1353216-0,2000,1500
1137344-2,1464,1952
862252-2,2016,1512
805775-2,4608,3456
1355164-2,2000,1500
811282-2,2736,3648
673930-2,3648,2736
938078-0,2016,1512
888073-0,2048,1536
786065-0,2080,1560
681112-0,2016,1512
758497-2,1632,1224
669609-1,2000,1500
910743-0,2736,3648
1355164-1,2000,1500
876890-0,2000,1500
654934-0,1464,1952
735440-0,2000,1500
878831-2,4000,3000
888104-1,1488,1984
925330-0,1728,2304
648069-1,2736,3648
922950-2,4000,3000
2015669-1,2000,1500
1016981-0,2736,3648
673986-2,2736,3648
1372076-2,1632,1224
1005457-0,2000,1500
648069-0,3648,2736
856132-0,1728,2304
949600-2,2016,1512
880141-0,3456,4608
805813-2,4608,3456
681112-2,1512,2016
1001061-1,3504,2628
910939-1,2048,1536
1035677-2,2016,1512
735459-2,1560,2080
623880-1,2080,1560
844740-2,4000,3000
2178917-1,2016,1512
2200414-2,4608,3456
789097-2,2080,1560
783711-2,4608,3456
756184-0,1728,2304
900160-0,2112,2816
925330-2,2304,1728
876165-3,1560,2080
556886-2,4608,3456
756316-2,2000,1500
981552-0,1560,2080
756114-2,2080,1560
648082-1,1296,1728
1969389-1,1296,972
1017265-1,2080,1560
877775-1,2736,3648
1674461-1,2304,1728
1252030-2,2000,1500
756180-1,3000,4000
681112-1,1512,2016
660472-2,2080,1560
654915-0,2304,1728
762341-0,2736,3648
993387-1,2000,1500
1353119-1,2016,1512
810593-0,2000,1496
1077861-2,2080,1560
862080-1,2736,3648
864153-0,2048,1536
673986-0,3648,2736
1150281-1,2080,1560
810617-2,2000,1496
977930-1,2016,1512
864165-2,1984,1488
881713-0,1530,2040
756185-0,2000,1500
1100772-0,960,720
674067-1,1224,1632
807547-0,2080,1560
918488-1,2736,3648
805839-1,1560,2080
669640-0,3456,4608
878496-1,1500,2000
756230-1,1500,2000
850967-0,1560,2080
970854-2,3648,2736
669729-1,1500,2000
644562-0,3456,4608
2033885-1,2040,1530
918542-0,2736,3648
879287-0,2736,3648
1127522-1,1224,1632
756203-1,1728,2304
766340-1,1728,2304
864156-0,4000,3000
763100-0,2080,1560
805906-0,3456,4608
648067-2,4000,3000
756124-0,2080,1560
2252585-1,1224,1632
1015498-2,2000,1500
765328-1,2080,1560
756115-0,2080,1560
942318-1,1728,2304
839449-0,1560,2080
903708-0,2048,1536
1963889-2,2000,1500
1504496-1,1560,2080
839465-1,2080,1560
596185-0,3456,4608
877390-1,2040,1530
1014987-2,2048,1536
691408-1,1512,2016
935023-2,3648,2736
744636-2,2048,1536
674249-0,3456,4608
1015503-2,4000,3000
648054-0,1368,1824
669664-2,4608,3456
636955-1,1952,1464
883137-1,3000,4000
856211-0,1488,1984
1145073-2,2112,2816
839455-1,1560,2080
882729-1,3648,2736
810553-1,1560,2080
1148229-1,2000,1500
756136-2,2080,1560
648038-1,3456,4608
930816-2,4608,3456
740316-1,1728,2304
868491-0,2736,3648
669672-2,1632,1224
807547-2,2080,1560
935079-0,2000,1500
762314-2,2592,1940
780188-2,2080,1560
1136311-1,1560,2080
936999-2,2080,1560
756197-1,2080,1560
886827-0,4000,3000
1001061-0,3504,2628
1015498-1,1500,2000
671920-1,1728,2304
770805-1,2000,1500
706596-1,1488,1984
864158-1,3000,4000
904560-0,1728,2304
2052522-1,2000,1500
993090-1,2736,3648
608815-0,2000,1500
1370839-2,1632,1224
1150332-1,1560,2080
776954-2,2304,1728
756285-0,1536,2048
848768-0,2016,1512
811282-0,3648,2736
905979-2,2048,1536
844864-0,2040,1530
899505-0,2040,1530
226142-1,1500,2000
226142-0,2000,1500
1149797-0,1224,1632
1016927-3,2000,1500
1570615-2,2080,1560
776946-1,1728,2304
2100334-2,2048,1536
1014979-0,1500,2000
922950-1,3000,4000
2225911-2,2592,1940
728789-0,1952,1464
810540-1,1560,2080
935011-2,1224,1632
998388-0,3456,4608
807885-1,3456,4608
1150281-0,1560,2080
669640-2,4608,3456
756199-0,1536,2048
845020-0,4608,3456
1273581-0,2628,3504
1352124-2,4608,3456
878030-2,2112,2816
1081383-0,2304,1728
728798-2,1224,1632
998807-1,1560,2080
1001310-1,1632,1224
960081-1,1224,1632
763810-0,2016,1512
1005457-1,2000,1500
942329-1,2000,1500
864819-0,1224,1632
772151-2,4608,3456
939065-1,3000,4000
2052518-1,3000,4000
1184429-1,1500,2000
674264-1,3456,4608
1298601-1,1224,1632
953088-0,2000,1500
780196-2,2080,1560
875117-0,2080,1560
756186-1,2000,1500
997367-2,2048,1536
756303-0,2000,1500
669752-1,3456,4608
865698-1,2736,3648
1148229-2,2000,1500
810537-0,1984,1488
669645-2,3000,4000
680361-2,1512,2016
2192290-0,3456,4608
764163-0,2080,1560
930816-1,3456,4608
1906427-1,1464,1952
1092376-1,1224,1632
1149001-1,1560,2080
844316-1,1224,1632
1971561-0,2048,1536
697153-2,4608,3456
756322-2,2048,1536
669729-2,1500,2000
1100390-2,1632,1224
1311928-0,3000,4000
1149840-2,2000,1500
877390-2,2040,1530
1081372-1,1224,1632
755581-0,3456,4608
972683-0,3456,4608
1360233-0,3072,4080
916251-1,2000,1500
811108-1,4608,3456
1017265-0,1560,2080
910941-0,2048,1536
1985400-2,3456,4608
756000-1,2000,1500
740369-0,2080,1560
2241689-2,2592,1940
622014-2,2000,1500
2033814-1,2048,1536
2220750-0,2000,1500
875105-1,2080,1560
669576-2,2000,1500
669681-2,1632,1224
809505-0,2000,1500
925045-0,2736,3648
808123-0,2016,1512
764256-1,3456,4608
2214279-2,1952,1464
559264-2,3000,4000
673986-1,2736,3648
749423-3,2304,1728
1717812-0,1500,2000
813908-2,3648,2736
1973312-0,2000,1500
2240370-2,2304,1728
523315-0,2000,1500
767012-2,1224,1632
669622-2,1632,1224
669744-0,4000,3000
971255-1,3456,4608
949596-1,2016,1512
925145-2,3648,2736
845269-0,1632,1224
581694-1,3000,4000
766813-0,2000,1500
622040-0,2016,1512
669618-1,3000,4000
1297893-0,3456,4608
937053-1,1560,2080
2136039-0,2048,1536
922364-3,2304,1728
756139-0,1464,1952
918467-1,1728,2304
865466-1,2000,1500
1015478-0,1500,2000
1075898-2,2000,1500
1234176-2,4000,3000
949306-1,1500,2000
2094877-0,2304,1728
918542-2,3648,2736
1184429-2,2000,1500
758018-2,3648,2736
586861-1,1728,2304
789144-1,2080,1560
860577-0,2000,1500
1072707-1,1560,2080
868230-0,2080,1560
870729-0,1984,1488
756184-2,2304,1728
847882-1,2000,1500
648044-0,3456,4608
1011695-0,3456,4608
546161-0,3648,2736
2055262-0,2000,1500
918004-1,2080,1560
894393-1,3456,4608
1106655-2,2000,1500
810438-2,4608,3456
648065-2,1224,1632
632300-0,1952,1464
758369-2,2304,1728
864158-0,3000,4000
2034042-0,1632,1224
813184-2,1632,1224
1281374-2,1560,2080
1001321-2,1952,1464
669698-2,4608,3456
2231134-2,4608,3456
995605-0,2736,3648
879876-1,3456,4608
766812-2,2000,1500
808837-1,1560,2080
936854-0,1500,2000
2214305-1,1560,2080
2033814-0,2048,1536
549757-1,2304,1728
888096-2,1984,1488
756233-2,2048,1536
2207997-1,2080,1560
758043-0,2736,3648
865698-2,3648,2736
1021652-1,1560,2080
934105-0,2048,1536
1087581-2,2816,2112
1017251-0,2736,3648
2004417-2,2000,1500
811172-0,4000,3000
1954745-0,2304,1728
911407-1,1530,2040
667234-2,4608,3456
1252030-1,2000,1500
848562-0,2312,1734
875117-2,2080,1560
1037063-0,1728,2304
781008-1,1488,1984
2241582-2,2080,1560
918467-0,1728,2304
694271-1,1952,1464
1001322-2,3000,4000
807971-2,2304,1728
925330-1,1728,2304
941283-0,4000,3000
2052525-2,4000,3000
1353119-2,2016,1512
993472-1,3000,4000
673974-2,2080,1560
556886-1,3456,4608
965951-0,2736,3648
2220741-1,4000,3000
845269-1,1560,2080
885608-2,1728,2304
838497-2,1224,1632
807952-2,1632,1224
648080-0,4608,3456
1227349-2,1224,1632
674067-0,1224,1632
685602-1,2000,1500
767672-2,2080,1560
1372076-0,1632,1224
805839-0,1560,2080
788925-2,3456,4608
888055-1,2000,1500
756317-1,1464,1952
680359-0,1224,1632
918652-2,2304,1728
783575-1,2080,1560
870090-1,2016,1512
740309-2,4000,3000
581685-1,1500,2000
911143-1,2080,1560
2102635-2,2000,1500
669635-1,4000,3000
813911-2,2000,1500
1355784-2,3648,2736
2066141-0,1536,2048
648070-1,3000,4000
751684-1,1508,2016
2145222-0,1728,2304
1257802-0,3456,4608
669681-0,1224,1632
1058098-1,2048,1536
849664-1,1500,2000
2031242-0,3456,4608
859199-0,1728,2304
895737-2,2080,1560
877189-0,2736,3648
942310-1,2736,3648
977872-1,1728,2304
896438-1,1500,2000
810733-2,2000,1500
2033841-1,2040,1530
781954-1,2016,1512
706043-0,2304,1728
2231134-0,4608,3456
755961-2,2016,1512
813060-0,2304,1728
765751-1,1500,2000
747265-2,2040,1536
2181558-2,2016,1512
810592-2,4608,3456
2007787-1,3456,4608
1281374-0,2080,1560
839465-2,2080,1560
1009442-1,3456,4608
766979-2,2016,1512
756195-2,1560,2080
935638-1,2040,1530
756001-1,2000,1500
663546-2,4000,3000
728379-0,2016,1512
844549-3,1560,2080
949675-1,3000,4000
2211229-0,1512,2016
654884-0,2016,1512
808127-0,2000,1500
744710-0,3456,4608
938346-2,2000,1500
1133032-1,2628,3504
1079822-1,2080,1560
839897-0,1560,2080
1763310-1,2000,1500
756300-0,2016,1512
937059-0,3456,4608
2193487-2,2080,1560
648062-2,4000,3000
920336-0,3000,4000
648044-1,3456,4608
878030-3,2112,2816
2033841-0,2040,1530
1330890-2,4000,3000
777921-2,2080,1560
810166-3,2080,1560
666807-0,1224,1632
740354-2,2048,1536
1014985-0,2736,3648
728544-0,2000,1500
1570616-1,1560,2080
2015669-0,2000,1500
923399-1,1728,2304
733471-1,1488,1984
747310-0,1224,1632
766804-2,2000,1500
865164-2,1560,2080
923580-1,1560,2080
2241461-0,3648,2736
669612-1,1224,1632
756267-1,1560,2080
807260-0,1500,2000
781104-0,2048,1536
1291190-1,1500,2000
878030-1,2112,2816
2166762-2,1984,1488
864919-0,1500,2000
805906-2,4608,3456
926240-0,1728,2304
768286-0,1488,1984
1015478-2,2000,1500
2223755-2,4000,3000
853998-2,2000,1500
1263928-1,1728,2304
876165-2,1560,2080
805620-0,2736,3648
972691-2,2304,1728
730042-2,2016,1512
2039741-0,3000,4000
1075869-1,2000,1500
739231-1,2080,1560
968576-1,3000,4000
1115515-1,2000,1500
740319-1,1728,2304
882659-0,2736,3648
759785-2,3648,2736
1166692-1,1940,2592
968462-2,4608,3456
730042-0,2016,1512
728795-1,1224,1632
586910-1,3000,4000
968460-1,3456,4608
810568-0,1488,1984
851902-0,1940,2592
632079-2,1984,1488
2007833-2,4608,3456
968576-0,3000,4000
809439-1,3000,4000
1006001-0,1224,1632
1051806-2,2000,1500
2170754-0,2736,3648
848591-1,1496,2000
546055-1,3456,4608
876139-0,2080,1560
935569-0,3456,4608
758018-0,2736,3648
863122-1,1728,2304
757979-0,2736,3648
1717812-1,1500,2000
735434-2,1500,2000
762852-2,1500,2000
661321-1,1488,1984
755952-1,4608,3456
875726-1,2736,3648
654910-0,2304,1728
1106765-2,4608,3456
769901-0,2080,1560
2034042-2,1632,1224
934105-1,2048,1536
2096095-1,2000,1500
863779-1,1728,2304
728787-1,1952,1464
756181-2,2048,1536
1015501-0,3000,4000
755667-1,4000,3000
648080-1,3456,4608
1343564-2,2304,1728
2214305-2,2080,1560
756227-2,1952,1464
586902-0,4000,3000
1906427-0,1464,1952
886987-2,2304,1728
766979-1,2016,1512
747635-0,1224,1632
852134-1,1500,2000
1570615-1,1560,2080
888967-2,2080,1560
813820-2,1464,1952
1358080-1,1728,2304
2223852-0,2736,3648
1331692-2,2080,1560
2072668-0,864,1152
876883-1,3648,2736
781937-0,4608,3456
876984-1,1496,2000
2208179-1,2080,1560
740311-1,3000,4000
730030-1,2016,1512
2100334-1,2048,1536
2007220-3,2048,1536
608742-0,1632,1224
2191823-1,3648,2736
856132-2,2304,1728
733471-2,1984,1488
1034226-1,2304,1728
806329-1,2000,1500
696732-0,2080,1560
811303-2,2000,1500
758006-1,2736,3648
811384-1,1728,2304
854371-2,3456,4608
754026-2,4096,3072
907088-2,1632,1224
861931-1,1560,2080
970880-2,1632,1224
673930-1,2736,3648
673963-1,1560,2080
756284-0,1464,1952
777053-0,1920,2560
648026-2,4608,3456
860282-2,1296,1728
775647-2,4608,3456
756283-0,1464,1952
878068-0,2016,1512
935635-1,2040,1530
1128594-2,2000,1500
895737-1,1560,2080
815772-2,1560,2080
847956-0,1560,2080
758421-0,1488,1984
849560-1,3456,4608
868229-1,2112,2816
756227-0,1464,1952
756207-1,1632,1224
895140-1,3456,4608
1384268-2,2628,3504
1373893-2,1984,1488
2225911-1,1940,2592
882659-2,3648,2736
960087-0,2000,1500
811273-1,3000,4000
1138940-1,1536,2048
622033-0,1464,1952
770159-0,2080,1560
2082909-0,2048,1536
622069-1,2016,1512
811125-5,2080,1560
811108-2,4608,3456
674246-1,2080,1560
623880-0,2080,1560
940171-1,2080,1560
847252-0,1500,2000
903719-0,1500,2000
882657-2,2304,1728
876963-2,1632,1224
813913-2,4608,3456
755716-1,2080,1560
745542-1,1500,2000
1618408-1,1560,2080
636955-2,1952,1464
813060-2,2304,1728
2085938-1,1500,2000
905660-2,864,1152
1079789-0,1560,2080
811666-2,1984,1488
2233208-0,3648,2736
1138940-0,2048,1536
1149797-1,1224,1632
728795-2,1224,1632
740354-0,1536,2048
648062-0,4000,3000
744691-1,2000,1500
1985400-1,3456,4608
756124-1,1560,2080
1149994-2,1632,1224
648058-2,2048,1536
2092597-0,1500,2000
1384268-3,2628,3504
868469-2,2000,1500
2156575-1,1940,2592
879448-1,2736,3648
2033854-2,2048,1536
669563-0,3456,4608
758002-1,2736,3648
699226-0,4000,3000
1282164-3,1512,2016
1699295-0,1560,2080
2052527-2,4000,3000
888082-1,2048,1536
879457-0,2736,3648
933199-1,1500,2000
669635-2,4000,3000
879458-1,2736,3648
813820-0,1952,1464
839368-2,2000,1496
762607-0,2000,1500
811384-0,2304,1728
768939-0,3456,4608
997367-0,2048,1536
1258298-0,1560,2080
728796-1,1224,1632
775304-1,1512,2016
648062-1,3000,4000
706589-0,1488,1984
844793-2,4000,3000
1353225-0,1224,1632
856211-2,1488,1984
1763310-0,1500,2000
869598-1,1224,1632
785330-2,4608,3456
863779-0,1728,2304
910174-1,1728,2304
879459-1,2736,3648
999155-1,1536,2048
813060-1,2304,1728
2052525-1,3000,4000
806320-0,2816,2112
906683-1,1224,1632
2135980-1,2048,1536
905738-0,2048,1536
1309546-0,3456,4608
849248-1,2000,1500
966319-0,2736,3648
669637-2,1632,1224
2092597-2,2000,1500
1345869-2,3504,2628
905918-1,2000,1500
2007819-2,3648,2736
1016981-1,2736,3648
940171-0,2080,1560
811283-0,3456,4608
2240809-0,2048,1536
1390156-2,3456,4608
895127-0,2048,1536
674243-2,1488,1984
882658-2,4608,3456
840629-1,2000,1496
918613-0,3456,4608
785550-2,4608,3456
990626-0,1500,2000
923074-0,2080,1560
766349-1,2000,1500
669563-2,4608,3456
839896-1,2080,1560
882652-2,3456,4608
939078-0,4000,3000
847697-2,2304,1728
839301-0,2312,1734
862252-1,1512,2016
938086-2,2000,1500
892727-0,2304,1728
1018722-1,2304,1728
762608-0,1500,2000
1319986-1,2304,1728
1128594-1,2000,1500
807260-2,2000,1500
2135740-2,3648,2736
844440-2,2000,1500
968460-0,3456,4608
654884-2,2016,1512
549757-2,2304,1728
810731-1,2000,1500
1370839-1,1224,1632
509715-1,3000,4000
844440-0,2000,1500
1021205-2,2080,1560
904679-1,1560,2080
895590-1,1500,2000
674245-0,3456,4608
673963-0,1560,2080
968467-0,3456,4608
1353218-0,3000,4000
1227349-0,1224,1632
771950-0,3000,4000
776952-0,1728,2304
566673-0,1728,2304
756181-1,1536,2048
942287-0,2816,2112
2178911-2,2048,1536
976247-2,2000,1500
1282164-2,1512,2016
779693-0,2736,3648
2198792-1,2000,1500
770159-2,2080,1560
1205446-0,1152,864
937050-2,2080,1560
1037063-2,2304,1728
1618408-2,2080,1560
2033826-1,2048,1536
998388-2,4608,3456
999153-3,4000,3000
756184-1,1728,2304
744679-0,1728,2304
1447064-1,2628,3504
942321-0,2112,2816
1699295-1,1560,2080
2207997-4,2080,1560
847697-0,1728,2304
756233-1,1536,2048
863453-1,2736,3648
681004-2,1512,2016
681117-0,1224,1632
765778-1,2312,1734
1017266-1,3456,4608
811197-0,4608,3456
